,.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
"('Investors', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00021312873,0.0,0.0,0.0,0.0,0.0
"('took', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017331023,0.0
"('advantage', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0002983802,0.0,0.0,0.0,0.0,0.0
"('of', 'ADP')",0.0,0.0,0.23430283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Tuesday', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0013640239,0.0,0.0,0.0,0.0,0.0
"(""'s"", 'PRT')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23308565,0.007844568,0.0
"('stock', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.004518329,0.0,0.0,0.0,0.0,0.0
"('rally', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,8.525149e-05,0.0,0.0,0.0,0.0,0.0
"('*-1', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1669471
"('to', 'PRT')",0.0,0.0,0.00024965673,0.0,0.0,0.0,0.0,0.0,0.0,0.6738365,0.0,0.0
"('book', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.00025575448,0.0,0.0,0.0,0.0,0.0
"('some', 'DET')",0.0,0.0,0.0,0.0,0.0,0.0145686,0.0,0.0,0.0,0.0,0.0,0.0
"('profits', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.00042625747,0.0,0.0,0.0,0.0,0.0
"('yesterday', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0020886615,0.0,0.0,0.0,0.0,0.0
"(',', '.')",0.4182337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('*-1', 'X')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1669471
"('leaving', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036486363,0.0
"('stocks', 'ADV')",0.0,0.0,0.0,0.0,0.0,0.0,0.0023017903,0.0,0.0,0.0,0.0,0.0
"('up', 'ADP')",0.0,0.0,0.0026213955,0.015390687,0.0,0.0,0.0,0.0,0.0,0.021118497,0.0,0.0
"('fractionally', 'ADV')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('.', '.')",0.32801604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Buying', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018243182,0.0
"('for', 'ADP')",0.0,0.0,0.08238672,0.0,0.0,0.0,0.0,0.0,0.0,0.0003910833,0.0,0.0
"('the', 'DET')",0.0,0.00096432015,0.0,0.0,0.0,0.45954737,0.0,0.0,0.0,0.0,0.0,0.0
"('most', 'ADJ')",0.0,0.006364513,0.0,0.010260458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('part', 'NOUN')",0.0,0.0,0.0,0.0,0.0,0.0,0.0013640239,0.0,0.0,0.0,0.0,0.0
"('carried', 'VERB')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036486363,0.0
